employerId,avgHourlyRate,initialEmployees,leftEmployees,turnoverRate
420,11.87,3,3,100.0
1747,11.39,4,3,75.0
1321,19.9,3,2,66.67
1758,15.14,3,2,66.67
1327,12.1,3,2,66.67
1332,18.22,3,2,66.67
1783,12.73,3,2,66.67
1791,12.21,3,2,66.67
1774,21.92,5,3,60.0
1280,16.14,5,3,60.0
1290,13.89,4,2,50.0
404,13.56,2,1,50.0
1764,12.79,6,3,50.0
860,12.27,2,1,50.0
430,11.83,2,1,50.0
1333,11.9,2,1,50.0
1777,21.21,2,1,50.0
1312,25.21,2,1,50.0
1769,20.76,2,1,50.0
846,13.43,2,1,50.0
1292,14.51,4,2,50.0
1754,10.68,2,1,50.0
829,32.23,2,1,50.0
848,40.86,2,1,50.0
1741,19.8,2,1,50.0
1797,11.68,2,1,50.0
890,10.49,2,1,50.0
1301,15.24,2,1,50.0
1760,19.15,6,3,50.0
1293,27.94,2,1,50.0
1757,15.31,7,3,42.86
1735,27.52,7,3,42.86
1302,17.46,5,2,40.0
880,14.52,5,2,40.0
1744,13.24,5,2,40.0
1317,13.47,5,2,40.0
1309,12.4,5,2,40.0
1282,14.75,5,2,40.0
1743,19.35,5,2,40.0
1763,18.66,9,3,33.33
1310,11.87,3,1,33.33
1329,26.77,3,1,33.33
867,19.53,6,2,33.33
862,12.24,3,1,33.33
1336,13.32,3,1,33.33
849,16.72,3,1,33.33
861,13.72,3,1,33.33
411,19.78,3,1,33.33
1305,12.81,3,1,33.33
1739,10.24,3,1,33.33
1756,14.46,3,1,33.33
1748,16.51,7,2,28.57
865,23.04,7,2,28.57
1765,22.87,7,2,28.57
434,15.32,7,2,28.57
1742,18.89,7,2,28.57
868,17.03,8,2,25.0
428,32.74,4,1,25.0
1340,18.87,4,1,25.0
851,19.05,4,1,25.0
407,14.66,4,1,25.0
876,18.24,8,2,25.0
1781,20.91,4,1,25.0
1306,19.75,8,2,25.0
1784,27.91,4,1,25.0
1279,24.49,4,1,25.0
856,18.53,4,1,25.0
1315,14.48,9,2,22.22
1289,19.44,5,1,20.0
416,28.07,5,1,20.0
1337,18.6,5,1,20.0
429,32.48,5,1,20.0
1766,19.62,5,1,20.0
382,15.56,5,1,20.0
869,15.96,5,1,20.0
1746,21.49,5,1,20.0
1304,28.95,5,1,20.0
838,11.98,5,1,20.0
1779,18.6,5,1,20.0
438,17.62,5,1,20.0
1287,18.9,5,1,20.0
1300,15.98,5,1,20.0
1281,24.64,5,1,20.0
845,12.82,5,1,20.0
843,24.19,5,1,20.0
887,16.08,6,1,16.67
1297,14.63,6,1,16.67
1788,18.03,6,1,16.67
397,14.87,6,1,16.67
1291,14.31,6,1,16.67
847,16.58,6,1,16.67
414,20.47,6,1,16.67
1770,14.11,6,1,16.67
878,16.97,7,1,14.29
1285,23.14,7,1,14.29
1792,20.51,7,1,14.29
1790,17.79,7,1,14.29
1745,19.73,7,1,14.29
1793,22.41,7,1,14.29
1330,17.18,7,1,14.29
1795,21.69,7,1,14.29
1759,19.44,8,1,12.5
1772,16.47,2,0,0.0
886,20.45,3,0,0.0
1778,25.9,2,0,0.0
1794,29.48,2,0,0.0
1286,17.53,5,0,0.0
1308,25.66,2,0,0.0
1325,27.71,3,0,0.0
1283,18.04,6,0,0.0
1749,17.51,6,0,0.0
863,18.03,4,0,0.0
1313,22.09,4,0,0.0
889,23.26,2,0,0.0
888,13.7,3,0,0.0
424,32.37,5,0,0.0
859,19.59,5,0,0.0
1314,12.74,2,0,0.0
1316,17.69,3,0,0.0
1319,19.82,2,0,0.0
387,16.46,2,0,0.0
1294,16.7,1,0,0.0
1762,12.44,1,0,0.0
1338,10.01,2,0,0.0
1761,16.85,3,0,0.0
1780,16.45,2,0,0.0
1776,16.27,3,0,0.0
1755,14.7,3,0,0.0
1750,16.28,2,0,0.0
1773,11.86,2,0,0.0
1738,16.2,2,0,0.0
1751,14.15,1,0,0.0
379,16.11,1,0,0.0
1334,23.02,3,0,0.0
1768,25.84,5,0,0.0
833,17.22,3,0,0.0
1335,13.01,1,0,0.0
1787,14.65,2,0,0.0
885,19.11,4,0,0.0
1322,15.79,2,0,0.0
842,12.45,3,0,0.0
1331,19.1,2,0,0.0
840,13.27,3,0,0.0
1328,14.13,2,0,0.0
1752,31.97,2,0,0.0
884,18.73,1,0,0.0
1296,29.29,3,0,0.0
1326,20.51,5,0,0.0
1753,24.17,1,0,0.0
1307,19.34,5,0,0.0
1339,19.76,4,0,0.0
1299,19.55,6,0,0.0
1341,22.46,5,0,0.0
412,10.77,2,0,0.0
879,19.14,2,0,0.0
403,18.12,6,0,0.0
410,20.06,4,0,0.0
1284,20.49,4,0,0.0
1734,37.29,3,0,0.0
418,16.72,4,0,0.0
392,24.76,3,0,0.0
400,20.12,2,0,0.0
413,19.28,5,0,0.0
393,18.54,4,0,0.0
386,19.11,5,0,0.0
394,37.14,1,0,0.0
1298,19.78,6,0,0.0
870,23.35,4,0,0.0
417,17.68,3,0,0.0
401,16.42,5,0,0.0
441,21.58,5,0,0.0
426,27.7,4,0,0.0
396,18.37,7,0,0.0
834,19.24,2,0,0.0
388,20.35,5,0,0.0
425,12.81,4,0,0.0
830,21.46,4,0,0.0
1303,18.97,3,0,0.0
423,20.21,5,0,0.0
432,24.09,4,0,0.0
440,18.01,5,0,0.0
436,24.3,3,0,0.0
385,21.9,5,0,0.0
427,20.61,5,0,0.0
383,32.34,6,0,0.0
877,25.54,8,0,0.0
1771,22.77,8,0,0.0
437,21.48,6,0,0.0
405,19.01,5,0,0.0
873,24.37,6,0,0.0
1323,30.66,6,0,0.0
415,28.06,5,0,0.0
439,23.42,6,0,0.0
399,14.14,5,0,0.0
1737,22.09,6,0,0.0
389,18.5,3,0,0.0
408,25.76,6,0,0.0
871,16.69,5,0,0.0
1782,30.3,5,0,0.0
395,23.39,3,0,0.0
402,13.66,4,0,0.0
850,30.7,4,0,0.0
857,18.26,5,0,0.0
1318,13.37,3,0,0.0
854,18.09,3,0,0.0
390,16.84,3,0,0.0
831,18.36,3,0,0.0
1767,26.72,4,0,0.0
875,31.78,1,0,0.0
1324,22.76,2,0,0.0
872,16.08,3,0,0.0
864,31.97,3,0,0.0
891,22.19,5,0,0.0
1789,25.18,6,0,0.0
1786,26.5,8,0,0.0
882,17.85,2,0,0.0
1288,13.62,3,0,0.0
1311,14.9,5,0,0.0
839,12.25,1,0,0.0
844,20.8,1,0,0.0
1740,21.65,3,0,0.0
853,19.43,3,0,0.0
836,13.38,2,0,0.0
852,17.61,4,0,0.0
1320,19.09,2,0,0.0
855,19.94,5,0,0.0
1736,26.25,5,0,0.0
1295,24.93,5,0,0.0
409,13.07,1,0,0.0
381,18.5,4,0,0.0
384,25.11,3,0,0.0
837,16.84,5,0,0.0
841,15.34,5,0,0.0
1785,32.56,3,0,0.0
1796,24.68,5,0,0.0
398,22.05,4,0,0.0
419,20.56,2,0,0.0
391,11.94,2,0,0.0
435,12.76,4,0,0.0
881,26.97,2,0,0.0
866,39.31,2,0,0.0
422,13.65,4,0,0.0
431,15.09,1,0,0.0
406,14.78,6,0,0.0
883,17.5,8,0,0.0
874,23.32,6,0,0.0
421,19.83,5,0,0.0
433,11.83,1,0,0.0
1775,10.59,1,0,0.0
